Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2025-01-27,39.30590057373047,40.244593127014085,38.33244176992662,38.53110768257247,161821600,41.21535151789969,41.01927003840791,40.388034962983994,35.42204985140369,0.1960814794917809,0.0240698840785854,0.1720115954131955,45.648688741558914
2025-01-28,41.04918670654297,41.307449730063,38.739703617643734,39.52443185675134,101033400,41.18978770076789,41.0214860878994,40.41396248233925,35.47804126289762,0.1683016128684897,0.0529162298365662,0.1153853830319235,46.64569916247393
2025-01-29,40.7958869934082,41.21308576596746,39.86216218127943,41.17831951735727,118481200,41.12918759194332,41.00477504386301,40.42893991414588,35.5309551507634,0.1244125480803077,0.0672154934853145,0.0571970545949931,52.230039356618555
2025-01-30,41.30744934082031,42.012709695745606,40.1601593416646,41.45644971517892,115171000,41.15661247638594,41.02719536215615,40.463391264211545,35.58843270489332,0.1294171142297884,0.0796558176342093,0.049761296595579,53.55205865788961
2025-01-31,41.083953857421875,43.25436820827123,40.81575544870451,42.1766106728745,118146600,41.145434227314546,41.031399695138795,40.48772705218058,35.64311450740605,0.1140345321757507,0.0865315605425176,0.0275029716332331,59.304910916442616
2025-02-03,40.09062576293945,40.721385913675256,38.41190290882001,39.00293291147028,153257000,40.98315600202607,40.961712737198106,40.472154452602496,35.68736835074469,0.0214432648279654,0.0735139013996072,-0.0520706365716417,57.13850159551983
2025-02-04,41.54584884643555,41.689881530022525,40.09559420990288,40.1849936759487,84634600,41.069724131935224,41.0049820786231,40.51426011510576,35.74566168901028,0.0647420533121234,0.0717595317821104,-0.007017478469987,61.10955378193066
2025-02-05,42.08721160888672,42.12694554891006,40.60715834076954,40.90018762265824,79694800,41.22626066685084,41.08514722901299,40.575944487410894,35.80876168821303,0.1411134378378449,0.0856303129932573,0.0554831248445875,56.130889380438134
2025-02-06,42.71797180175781,42.777568917268226,41.81404558722794,42.19647430562119,76431000,41.45575468760576,41.206097197364464,40.65994555856175,35.87751004755179,0.2496574902412973,0.1184357484428653,0.131221741798432,60.90031147416286
2025-02-07,41.08892059326172,43.30403652208947,40.900186278969855,42.84213990489473,110870400,41.399318673091294,41.19741744891241,40.67676810894214,35.92936487885238,0.2019012241788829,0.1351288435900688,0.066772380588814,49.32720493800646
2025-02-10,42.534210205078125,42.81234021490197,41.96801480551547,42.08224893911438,65594200,41.57391737032004,41.29643913455432,40.74960897545728,35.99508473284468,0.2774782357657201,0.1635987220251991,0.113879513740521,51.75001380118135
2025-02-11,42.23124313354492,42.70803903294951,41.72464867456411,41.75444723414034,62602800,41.67504441081618,41.36568387522029,40.80771227577444,36.05713606021484,0.3093605355958857,0.1927510847393364,0.1166094508565492,45.27786150356027
2025-02-12,42.315673828125,42.519307417979434,40.77601973191321,40.86541919758935,96986600,41.77360278270984,41.43605350136138,40.866848022925446,36.11941006785574,0.3375492813484655,0.2217107240611622,0.1158385572873032,44.57871746792875
2025-02-13,44.09869766235352,44.183129442713614,42.50441026891982,42.703076179183704,92920200,42.13130968727041,41.633286402175614,40.993587224471646,36.1988059643184,0.4980232850947956,0.2769732362678889,0.2210500488269067,53.29458273018096
2025-02-14,44.61522674560547,44.78905799313117,44.004329745172846,44.10862849368827,76057400,42.51345077316811,41.854170872059306,41.1356123037318,36.28255144472922,0.6592799011088033,0.3534345692360718,0.3058453318727314,71.91471606135707
2025-02-18,44.89335632324219,45.0721552588128,44.07882952308139,45.01255435054361,68825200,42.87959008856412,42.07929572029507,41.28297481430083,36.36823109526169,0.80029436826905,0.4428065290426675,0.3574878392263825,68.05036705227575
